Year,Budget,CIP_Count,CIP_Spend,Budget_Utilization,Emergency_Count,Emergency_Cost,Break_Events,Breaks,Repair_Cost,Backlog_CIP,Backlog_Emergency,Backlog_Remaining,Eligible,Deferred,Unfundable,Unfundable_Length,Emergency_degradation,Emergency_break_failure,Emergency_break_damage
21,1930001.7713426484,3,195694.981128,0.10139627021785605,0,0.0,2,2,10000.0,2,0,5,3,0,0,0.0,0,0,0
22,1930001.7713426484,5,887709.6397944001,0.45995275909868477,0,0.0,0,0,0.0,2,0,3,5,0,0,0.0,0,0,0
23,1930001.7713426484,7,639045.9697607999,0.33111159753818953,0,0.0,2,2,10000.0,1,0,2,7,0,0,0.0,0,0,0
24,1930001.7713426484,4,432875.2922148,0.22428751032371372,0,0.0,2,2,10000.0,1,0,1,4,0,0,0.0,0,0,0
25,1930001.7713426484,3,309344.7540168,0.1602821088612771,0,0.0,1,1,5000.0,0,0,1,3,0,0,0.0,0,0,0
26,1930001.7713426484,1,41009.6430072,0.021248500191101242,0,0.0,1,1,5000.0,0,0,1,1,0,0,0.0,0,0,0
27,1930001.7713426484,4,77709.08710368001,0.040263738747566,0,0.0,0,0,0.0,0,0,1,4,0,0,0.0,0,0,0
28,1930001.7713426484,7,722038.58568,0.37411291347038395,0,0.0,1,1,5000.0,1,0,0,7,0,0,0.0,0,0,0
29,1930001.7713426484,3,1708862.0812271999,0.8854199548420063,0,0.0,1,1,5000.0,0,0,0,6,2,1,4148.842081,0,0,0
30,1930001.7713426484,9,1766063.1840717602,0.9150578047620958,1,20744210.404999997,0,0,0.0,0,0,0,10,0,1,4148.842081,1,0,0
31,1930001.7713426484,11,1145473.02018,0.5935087921619504,0,0.0,0,0,0.0,0,0,0,11,0,0,0.0,0,0,0
32,1930001.7713426484,3,434323.62455904,0.22503794090141854,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0
33,1930001.7713426484,7,837209.3843232,0.43378684763629866,0,0.0,0,0,0.0,0,0,0,7,0,0,0.0,0,0,0
34,1930001.7713426484,5,1160707.2899808,0.6014021889593024,0,0.0,1,1,5000.0,0,0,0,5,0,0,0.0,0,0,0
35,1930001.7713426484,9,1676530.4644692002,0.8686678371817683,0,0.0,0,0,0.0,0,0,0,11,2,0,0.0,0,0,0
36,1930001.7713426484,5,1762010.0219663999,0.912957722697124,0,0.0,0,0,0.0,0,0,0,5,0,0,0.0,0,0,0
37,1930001.7713426484,6,628599.7161,0.3256990358421799,0,0.0,2,2,10000.0,0,0,0,7,1,0,0.0,0,0,0
38,1930001.7713426484,11,1372447.7200223997,0.7111121556472075,0,0.0,0,0,0.0,0,0,0,12,1,0,0.0,0,0,0
39,1930001.7713426484,2,1720464.2979912,0.8914314606013656,0,0.0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0
40,1930001.7713426484,6,701013.9773664001,0.3632193440313395,0,0.0,1,1,5000.0,0,0,0,6,0,0,0.0,0,0,0
41,1930001.7713426484,7,939795.6554135999,0.48694030718936093,0,0.0,0,0,0.0,0,0,0,7,0,0,0.0,0,0,0
42,1930001.7713426484,8,1869121.8570024,0.9684560318833823,0,0.0,0,0,0.0,0,0,0,9,1,0,0.0,0,0,0
43,1930001.7713426484,5,293929.6255848,0.15229500301459378,0,0.0,1,1,5000.0,0,0,0,6,1,0,0.0,0,0,0
44,1930001.7713426484,5,1094852.9214432,0.5672807858002852,0,0.0,4,4,20000.0,0,0,0,6,1,0,0.0,0,0,0
45,1930001.7713426484,4,977371.5730449599,0.5064096766942497,0,0.0,0,0,0.0,0,0,0,5,1,0,0.0,0,0,0
46,1930001.7713426484,1,1834881.5232,0.9507149425689512,0,0.0,1,1,5000.0,0,0,0,4,3,0,0.0,0,0,0
47,1930001.7713426484,5,1877598.3167496002,0.972847975908026,0,0.0,0,0,0.0,0,0,0,10,5,0,0.0,0,0,0
