Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
1,P1105,Emergency_Replacement,1.0,6.0,1.0,0.0,193031.61032,241.2895129,6.0,CI,HDPE,0
1,P1059,Emergency_Replacement,1.0,6.0,1.0,0.0,73544.361632,91.93045204,6.0,CI,HDPE,0
2,P1187,Emergency_Replacement,1.0,6.0,1.0,0.0,558038.11712,697.5476464,10.0,AC,HDPE,0
2,P1221,Break_Event,1.5907865897479636,1.0,1.5907865897479636,0.0,10000.0,230.9573842,8.0,AC,,2
2,P1221,Emergency_Replacement,1.0,6.0,1.0,0.0,184765.90736,230.9573842,8.0,AC,HDPE,0
2,P1155,Break_Event,1.338153353107303,1.038153353107303,1.338153353107303,0.0,5000.0,631.0446813,6.0,AC,,1
2,P1345,Break_Event,3.3854188066049664,2.7854188066049663,3.3854188066049664,0.0,10000.0,822.0028751,6.0,DI,,2
2,P1535,Break_Event,4.9893979374084605,4.689397937408461,4.9893979374084605,0.0,5000.0,5347.609294,6.0,DI,,1
2,P1187,Break_Event,1.3159210464709088,1.0,1.3159210464709088,0.0,5000.0,697.5476464,10.0,AC,,1
2,P1279,Break_Event,1.335612568849389,1.035612568849389,1.335612568849389,0.0,5000.0,456.6983749,2.0,GI,,1
2,P1181,Emergency_Replacement,1.0,6.0,1.0,0.0,24950.685272000002,31.18835659,10.0,AC,HDPE,0
2,P1149,Emergency_Replacement,1.0,6.0,1.0,0.0,389851.82192,487.3147774,6.0,AC,HDPE,0
2,P1161,Emergency_Replacement,1.0,6.0,1.0,0.0,148555.81736,185.6947717,1.5,GI,HDPE,0
2,P1161,Break_Event,1.3820771040803208,1.0,1.3820771040803208,0.0,5000.0,185.6947717,1.5,GI,,1
2,P1151,Break_Event,1.562213046388131,1.262213046388131,1.562213046388131,0.0,5000.0,240.2653862,6.0,AC,,1
2,P1549,Break_Event,4.219877686071264,3.9198776860712643,4.219877686071264,0.0,5000.0,207.2291682,2.0,GI,,1
2,P1149,Break_Event,1.233751882525554,1.0,1.233751882525554,0.0,5000.0,487.3147774,6.0,AC,,1
2,P1145,Break_Event,1.955582366370256,1.655582366370256,1.955582366370256,0.0,5000.0,697.2017257,6.0,CI,,1
2,P979,Emergency_Replacement,1.0,6.0,1.0,0.0,928455.796,1160.569745,2.0,GI,HDPE,0
2,P979,Break_Event,1.3083389845726043,1.0,1.3083389845726043,0.0,10000.0,1160.569745,2.0,GI,,2
2,P1181,Break_Event,1.6124679912404205,1.0,1.6124679912404205,0.0,5000.0,31.18835659,10.0,AC,,1
3,P1231,Emergency_Replacement,1.0,6.0,1.0,0.0,640637.87872,800.7973484,6.0,AC,HDPE,0
3,P1231,Break_Event,1.629659987852301,1.0,1.629659987852301,0.0,10000.0,800.7973484,6.0,AC,,2
3,P1325,Break_Event,4.050321939734711,3.750321939734711,4.050321939734711,0.0,5000.0,493.6419591,6.0,AC,,1
3,P1013,Emergency_Replacement,1.0,6.0,1.0,0.0,402171.94096,502.7149262,6.0,AC,HDPE,0
3,P1101,CIP_Replacement,1.1404128562348284,6.0,1.1404128562348284,2220.012118989561,95661.287352,132.8628991,6.0,AC,HDPE,0
3,P1547,Emergency_Replacement,1.0,6.0,1.0,0.0,236047.42088,295.0592761,2.0,GI,HDPE,0
3,P1029,Emergency_Replacement,1.0,6.0,1.0,0.0,421520.16439999995,526.9002055,6.0,AC,HDPE,0
3,P1013,Break_Event,1.3399582128718284,1.0,1.3399582128718284,0.0,10000.0,502.7149262,6.0,AC,,2
3,P1279,Emergency_Replacement,1.0,6.0,1.0,0.0,365358.69992,456.6983749,2.0,GI,HDPE,0
3,P1155,Emergency_Replacement,1.0,6.0,1.0,0.0,504835.74504,631.0446813,6.0,AC,HDPE,0
4,P1131,Break_Event,1.4347116652155938,1.0,1.4347116652155938,0.0,5000.0,1129.798196,8.0,AC,,1
4,P1131,Emergency_Replacement,1.0,6.0,1.0,0.0,903838.5568,1129.798196,8.0,AC,HDPE,0
4,P1177,Break_Event,5.64254643082894,5.34254643082894,5.64254643082894,0.0,5000.0,301.4871907,10.0,HDPE,,1
4,P1235,Break_Event,1.2875330434405456,1.0,1.2875330434405456,0.0,5000.0,351.3000337,6.0,AC,,1
4,P1235,Emergency_Replacement,1.0,6.0,1.0,0.0,281040.02696,351.3000337,6.0,AC,HDPE,0
4,P1345,Break_Event,2.6881786959195066,2.388178695919507,2.6881786959195066,0.0,5000.0,822.0028751,6.0,DI,,1
5,P1535,Break_Event,4.416789552371252,4.1167895523712525,4.416789552371252,0.0,5000.0,5347.609294,6.0,DI,,1
5,P1463,Break_Event,2.8416920357036304,2.5416920357036306,2.8416920357036304,0.0,5000.0,316.4482271,6.0,DI,,1
5,P1357,Break_Event,4.664677674725436,4.364677674725436,4.664677674725436,0.0,5000.0,751.3696781,6.0,DI,,1
5,P1345,Break_Event,2.3461222352928903,2.0461222352928905,2.3461222352928903,0.0,5000.0,822.0028751,6.0,DI,,1
5,P1325,Break_Event,3.3465122813691677,3.046512281369168,3.3465122813691677,0.0,5000.0,493.6419591,6.0,AC,,1
5,P1289,Emergency_Replacement,1.0,6.0,1.0,0.0,33981.931616,42.47741452,3.0,GI,HDPE,0
5,P1375,Break_Event,2.2871998726583977,1.9871998726583977,2.2871998726583977,0.0,5000.0,161.6861837,6.0,DI,,1
5,P1219,Break_Event,1.4504519735069858,1.1504519735069858,1.4504519735069858,0.0,5000.0,304.4577823,6.0,AC,,1
5,P1193,Break_Event,1.4477761453359597,1.1477761453359596,1.4477761453359597,0.0,5000.0,401.9278884,10.0,AC,,1
5,P1127,Emergency_Replacement,1.0,6.0,1.0,0.0,177692.26464,222.1153308,8.0,AC,HDPE,0
5,P1127,Break_Event,1.3164844904860806,1.0,1.3164844904860806,0.0,5000.0,222.1153308,8.0,AC,,1
5,P1053,Break_Event,1.4476007191774531,1.147600719177453,1.4476007191774531,0.0,5000.0,87.76071402,6.0,CI,,1
5,P1009,Break_Event,2.022448907455919,1.722448907455919,2.022448907455919,0.0,5000.0,454.878782,6.0,DI,,1
5,P1289,Break_Event,1.1851161082350157,1.0,1.1851161082350157,0.0,5000.0,42.47741452,3.0,GI,,1
6,P1151,CIP_Replacement,1.0083430253990948,6.0,1.0083430253990948,4634.850914483513,172991.078064,240.2653862,6.0,AC,HDPE,0
6,P1535,Break_Event,4.035418118870137,3.735418118870137,4.035418118870137,0.0,5000.0,5347.609294,6.0,DI,,1
6,P1515,Break_Event,2.8202093176329788,2.520209317632979,2.8202093176329788,0.0,5000.0,2548.44656,6.0,DI,,1
6,P1513,Break_Event,3.9306319955855593,3.6306319955855595,3.9306319955855593,0.0,5000.0,603.0410659,6.0,DI,,1
6,P1171,Break_Event,1.4403314507013265,1.1403314507013265,1.4403314507013265,0.0,5000.0,669.5070049,6.0,AC,,1
6,P1167,Emergency_Replacement,1.0,6.0,1.0,0.0,55827.715471999996,69.78464434,6.0,AC,HDPE,0
6,P1167,Break_Event,1.0633171215285757,1.0,1.0633171215285757,0.0,5000.0,69.78464434,6.0,AC,,1
6,P1207,Emergency_Replacement,1.0,6.0,1.0,0.0,75479.707392,94.34963424,6.0,AC,HDPE,0
6,P1203,Break_Event,1.8256613197353613,1.5256613197353612,1.8256613197353613,0.0,5000.0,616.7831577,8.0,AC,,1
7,P1293,Emergency_Replacement,1.0,6.0,1.0,0.0,271474.04424,339.3425553,1.5,GI,HDPE,0
7,P1549,Break_Event,3.081914936652173,2.781914936652173,3.081914936652173,0.0,5000.0,207.2291682,2.0,GI,,1
7,P1511,Break_Event,3.9275562053861974,3.6275562053861976,3.9275562053861974,0.0,5000.0,261.9393925,6.0,DI,,1
7,P1411,Emergency_Replacement,1.0,6.0,1.0,0.0,450917.28712000005,563.6466089,6.0,DI,HDPE,0
7,P1411,Break_Event,4.209080275671191,1.0,4.209080275671191,0.0,5000.0,563.6466089,6.0,DI,,1
7,P1395,Break_Event,4.483762813551739,4.1837628135517395,4.483762813551739,0.0,5000.0,910.8566616,6.0,DI,,1
7,P1293,Break_Event,1.2221503987822597,1.0,1.2221503987822597,0.0,5000.0,339.3425553,1.5,GI,,1
7,P1219,Emergency_Replacement,1.0,6.0,1.0,0.0,243566.22584000003,304.4577823,6.0,AC,HDPE,0
7,P1239,Break_Event,1.0874761876568027,1.0,1.0874761876568027,0.0,5000.0,268.6809596,6.0,AC,,1
7,P1219,Break_Event,1.067748223109313,1.0,1.067748223109313,0.0,5000.0,304.4577823,6.0,AC,,1
7,P1095,Emergency_Replacement,1.0,6.0,1.0,0.0,248254.24072,310.3178009,6.0,AC,HDPE,0
7,P1095,Break_Event,1.2528240908627841,1.0,1.2528240908627841,0.0,5000.0,310.3178009,6.0,AC,,1
7,P1031,Emergency_Replacement,1.0,6.0,1.0,0.0,412950.64576000004,516.1883072,6.0,AC,HDPE,0
7,P1031,Break_Event,1.111133905903693,1.0,1.111133905903693,0.0,5000.0,516.1883072,6.0,AC,,1
7,P1165,Emergency_Replacement,1.0,6.0,1.0,0.0,442829.82152000006,553.5372769,6.0,AC,HDPE,0
7,P1227,Emergency_Replacement,1.0,6.0,1.0,0.0,23062.73092,28.82841365,8.0,AC,HDPE,0
7,P1239,Emergency_Replacement,1.0,6.0,1.0,0.0,214944.76768,268.6809596,6.0,AC,HDPE,0
8,P1175,CIP_Replacement,1.0076938819920713,6.0,1.0076938819920713,2146.0824178230223,115442.433864,96.20202822,10.0,AC,HDPE,0
8,P1277,CIP_Replacement,1.0104349101514347,6.0,1.0104349101514347,3188.3033395597863,51993.202056,216.6383419,2.0,GI,HDPE,0
8,P1517,Break_Event,2.752441854474011,2.452441854474011,2.752441854474011,0.0,5000.0,4148.842081,6.0,DI,,1
8,P1391,Break_Event,3.9855572096834098,3.68555720968341,3.9855572096834098,0.0,5000.0,889.7215058,6.0,DI,,1
8,P1241,Emergency_Replacement,1.0,6.0,1.0,0.0,263121.71336,328.9021417,6.0,AC,HDPE,0
8,P1241,Break_Event,1.2687529474979091,1.0,1.2687529474979091,0.0,5000.0,328.9021417,6.0,AC,,1
8,P1237,Break_Event,1.068918446703193,1.0,1.068918446703193,0.0,5000.0,140.2339371,6.0,AC,,1
8,P1237,Emergency_Replacement,1.0,6.0,1.0,0.0,112187.14967999999,140.2339371,6.0,AC,HDPE,0
8,P1209,Break_Event,1.280451149115938,1.0,1.280451149115938,0.0,5000.0,324.6950887,6.0,AC,,1
8,P1171,Emergency_Replacement,1.0,6.0,1.0,0.0,535605.60392,669.5070049,6.0,AC,HDPE,0
8,P1171,Break_Event,1.069098620849069,1.0,1.069098620849069,0.0,5000.0,669.5070049,6.0,AC,,1
8,P1039,Emergency_Replacement,1.0,6.0,1.0,0.0,312202.25032,390.2528129,6.0,AC,HDPE,0
8,P1039,Break_Event,1.1639944717381228,1.0,1.1639944717381228,0.0,5000.0,390.2528129,6.0,AC,,1
8,P1179,Emergency_Replacement,1.0,6.0,1.0,0.0,633789.17136,792.2364642,10.0,AC,HDPE,0
8,P1087,Emergency_Replacement,1.0,6.0,1.0,0.0,13842.518272000001,17.30314784,8.0,CI,HDPE,0
8,P1209,Emergency_Replacement,1.0,6.0,1.0,0.0,259756.07095999998,324.6950887,6.0,AC,HDPE,0
8,P1025,Emergency_Replacement,1.0,6.0,1.0,0.0,125504.90504,156.8811313,6.0,AC,HDPE,0
9,P1353,Break_Event,4.096677487509133,3.7966774875091334,4.096677487509133,0.0,5000.0,1946.253818,6.0,DI,,1
9,P1359,Break_Event,3.8411856474677886,3.5411856474677887,3.8411856474677886,0.0,5000.0,146.1729689,6.0,DI,,1
9,P1517,Break_Event,2.3792106333060627,1.7792106333060627,2.3792106333060627,0.0,10000.0,4148.842081,6.0,DI,,2
9,P1153,CIP_Replacement,1.0019907848487173,6.0,1.0019907848487173,713.1290118911086,24351.2999496,33.82124993,6.0,AC,HDPE,0
9,P1347,Break_Event,3.763848480222897,3.463848480222897,3.763848480222897,0.0,5000.0,1363.41445,6.0,DI,,1
9,P1093,CIP_Replacement,1.003636348362141,6.0,1.003636348362141,4818.6413338360935,181489.268664,252.0684287,6.0,AC,HDPE,0
9,P1215,CIP_Replacement,1.0033518762504208,6.0,1.0033518762504208,280.76155284384197,10900.8446592,45.42018608,2.0,AC,HDPE,0
9,P1535,Break_Event,3.518267364249669,3.218267364249669,3.518267364249669,0.0,5000.0,5347.609294,6.0,DI,,1
9,P1247,Emergency_Replacement,1.0,6.0,1.0,0.0,52255.367888,65.31920986,6.0,AC,HDPE,0
9,P1195,Emergency_Replacement,1.0,6.0,1.0,0.0,24448.592360000002,30.56074045,8.0,AC,HDPE,0
9,P1133,Emergency_Replacement,1.0,6.0,1.0,0.0,316547.53816,395.6844227,8.0,AC,HDPE,0
9,P1193,Emergency_Replacement,1.0,6.0,1.0,0.0,321542.31071999995,401.9278884,10.0,AC,HDPE,0
9,P1233,Emergency_Replacement,1.0,6.0,1.0,0.0,17376.615792,21.72076974,6.0,AC,HDPE,0
9,P1309,Emergency_Replacement,1.0,6.0,1.0,0.0,20182.402568,25.22800321,8.0,CI,HDPE,0
9,P801,Break_Event,1.7877925658299942,1.4877925658299942,1.7877925658299942,0.0,5000.0,23.9802349,6.0,DI,,1
9,P1015,Break_Event,1.17709385885696,1.0,1.17709385885696,0.0,5000.0,108.5799324,6.0,CI,,1
9,P1247,Break_Event,1.2498752086459084,1.0,1.2498752086459084,0.0,5000.0,65.31920986,6.0,AC,,1
9,P1053,Emergency_Replacement,1.0,6.0,1.0,0.0,70208.571216,87.76071402,6.0,CI,HDPE,0
9,P1015,Emergency_Replacement,1.0,6.0,1.0,0.0,86863.94592,108.5799324,6.0,CI,HDPE,0
9,P1099,Break_Event,1.1000480510661723,1.0,1.1000480510661723,0.0,5000.0,475.7467214,6.0,AC,,1
9,P1099,Emergency_Replacement,1.0,6.0,1.0,0.0,380597.37712,475.7467214,6.0,AC,HDPE,0
9,P1133,Break_Event,1.2247467856200316,1.0,1.2247467856200316,0.0,5000.0,395.6844227,8.0,AC,,1
10,P1051,Break_Event,1.3437389288604624,1.0437389288604624,1.3437389288604624,0.0,5000.0,287.3418061,6.0,CI,,1
10,P1017,Break_Event,1.1516023045617934,1.0,1.1516023045617934,0.0,5000.0,287.1336652,6.0,CI,,1
10,P1073,CIP_Replacement,1.0033569043128665,6.0,1.0033569043128665,2806.2146287561854,103487.355288,143.7324379,6.0,CI,HDPE,0
10,P1081,CIP_Replacement,1.00166689021754,6.0,1.00166689021754,2318.843669042283,133962.469824,139.5442394,8.0,CI,HDPE,0
10,P1017,Emergency_Replacement,1.0,6.0,1.0,0.0,229706.93216,287.1336652,6.0,CI,HDPE,0
10,P1551,Emergency_Replacement,1.0,6.0,1.0,0.0,14809.729136000002,18.51216142,2.0,GI,HDPE,0
10,P1515,Break_Event,2.179018885415601,1.879018885415601,2.179018885415601,0.0,5000.0,2548.44656,6.0,DI,,1
10,P1343,Break_Event,2.708595615786851,2.4085956157868513,2.708595615786851,0.0,5000.0,1378.99118,6.0,DI,,1
10,P1329,Break_Event,2.0560401082107647,1.7560401082107646,2.0560401082107647,0.0,5000.0,58.09593259,6.0,DI,,1
11,P1493,Break_Event,4.15952952080893,3.8595295208089304,4.15952952080893,0.0,5000.0,1053.340851,6.0,DI,,1
11,P1295,Emergency_Replacement,1.0,6.0,1.0,0.0,72929.079816,91.16134977,1.5,GI,HDPE,0
11,P1245,CIP_Replacement,1.0068393702217084,6.0,1.0068393702217084,2193.902476345021,188479.85673600002,261.7775788,6.0,AC,HDPE,0
11,P1141,Emergency_Replacement,1.0,6.0,1.0,0.0,34856.521792,43.57065224,6.0,CI,HDPE,0
11,P1103,Emergency_Replacement,1.0,6.0,1.0,0.0,17947.3052,22.4341315,6.0,AC,HDPE,0
11,P1035,Emergency_Replacement,1.0,6.0,1.0,0.0,33193.788056,41.49223507,6.0,AC,HDPE,0
11,P981,Emergency_Replacement,1.0,6.0,1.0,0.0,23291.770303999998,29.11471288,2.0,GI,HDPE,0
11,P1313,Emergency_Replacement,1.0,6.0,1.0,0.0,100365.87071999999,125.4573384,6.0,CI,HDPE,0
11,P1555,Break_Event,1.7566216390438345,1.4566216390438345,1.7566216390438345,0.0,5000.0,16.65931746,6.0,DI,,1
12,P1211,CIP_Replacement,1.0165201028728985,6.0,1.0165201028728985,4694.472039246994,205759.205424,285.7766742,6.0,AC,HDPE,0
12,P1447,Break_Event,2.8894979733626966,2.589497973362697,2.8894979733626966,0.0,5000.0,679.975015,6.0,DI,,1
12,P1139,Emergency_Replacement,1.0,6.0,1.0,0.0,203940.1296,254.925162,6.0,CI,HDPE,0
12,P1033,Emergency_Replacement,1.0,6.0,1.0,0.0,274066.71976,342.5833997,6.0,AC,HDPE,0
12,P1051,Emergency_Replacement,1.0,6.0,1.0,0.0,229873.44488,287.3418061,6.0,CI,HDPE,0
12,P1137,Emergency_Replacement,1.0,6.0,1.0,0.0,22158.560304,27.69820038,6.0,CI,HDPE,0
12,P1213,Emergency_Replacement,1.0,6.0,1.0,0.0,58478.16352,73.0977044,6.0,AC,HDPE,0
12,P1287,Emergency_Replacement,1.0,6.0,1.0,0.0,273151.11072,341.4388884,3.0,GI,HDPE,0
12,P1047,Emergency_Replacement,1.0,6.0,1.0,0.0,302612.20352,378.2652544,6.0,AC,HDPE,0
12,P1139,Break_Event,1.1804369140012876,1.0,1.1804369140012876,0.0,5000.0,254.925162,6.0,CI,,1
