Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
2,P1503,Break_Event,4.994539818116099,4.694539818116099,4.994539818116099,0.0,5000.0,1047.162738,6.0,DI,,1
2,P1483,Break_Event,2.0435538888496,1.7435538888495998,2.0435538888496,0.0,5000.0,339.374716,6.0,DI,,1
2,P1411,Break_Event,4.996050353700115,4.696050353700115,4.996050353700115,0.0,5000.0,563.6466089,6.0,DI,,1
2,P1297,Emergency_Replacement,1.0,6.0,1.0,0.0,1361646.6944,1702.058368,1.5,GI,HDPE,0
2,P1241,Break_Event,1.4830862135604117,1.1830862135604117,1.4830862135604117,0.0,5000.0,328.9021417,6.0,AC,,1
2,P1101,Emergency_Replacement,1.0,6.0,1.0,0.0,106290.31928,132.8628991,6.0,AC,HDPE,0
2,P1201,Break_Event,1.2876967230939893,1.0,1.2876967230939893,0.0,5000.0,599.2737497,8.0,AC,,1
2,P1199,Break_Event,2.0970611595529998,1.7970611595529997,2.0970611595529998,0.0,5000.0,875.9424045,8.0,AC,,1
2,P1171,Break_Event,1.600601809528543,1.300601809528543,1.600601809528543,0.0,5000.0,669.5070049,6.0,AC,,1
2,P1151,Break_Event,1.597820052953895,1.297820052953895,1.597820052953895,0.0,5000.0,240.2653862,6.0,AC,,1
2,P1201,Emergency_Replacement,1.0,6.0,1.0,0.0,479418.99976000004,599.2737497,8.0,AC,HDPE,0
2,P1101,Break_Event,1.2600281777259492,1.0,1.2600281777259492,0.0,5000.0,132.8628991,6.0,AC,,1
2,P1095,Break_Event,1.6056146897551073,1.3056146897551073,1.6056146897551073,0.0,5000.0,310.3178009,6.0,AC,,1
2,P1073,Break_Event,1.6388943080519327,1.3388943080519327,1.6388943080519327,0.0,5000.0,143.7324379,6.0,CI,,1
3,P1517,Break_Event,3.33694374347029,3.03694374347029,3.33694374347029,0.0,5000.0,4148.842081,6.0,DI,,1
3,P1241,Emergency_Replacement,1.0,6.0,1.0,0.0,263121.71336,328.9021417,6.0,AC,HDPE,0
3,P1241,Break_Event,1.0898039326818252,1.0,1.0898039326818252,0.0,5000.0,328.9021417,6.0,AC,,1
3,P1231,Break_Event,1.3924545246001645,1.0924545246001645,1.3924545246001645,0.0,5000.0,800.7973484,6.0,AC,,1
3,P1205,Emergency_Replacement,1.0,6.0,1.0,0.0,26828.650456000003,33.53581307,6.0,AC,HDPE,0
3,P1205,Break_Event,1.5754431994600642,1.0,1.5754431994600642,0.0,5000.0,33.53581307,6.0,AC,,1
3,P1171,Break_Event,1.2446142927136088,1.0,1.2446142927136088,0.0,5000.0,669.5070049,6.0,AC,,1
3,P1045,Break_Event,2.1210128700362216,1.8210128700362216,2.1210128700362216,0.0,5000.0,641.0,6.0,Default,,1
3,P1039,Break_Event,1.3195414552442135,1.0195414552442135,1.3195414552442135,0.0,5000.0,390.2528129,6.0,AC,,1
3,P1029,Emergency_Replacement,1.0,6.0,1.0,0.0,421520.16439999995,526.9002055,6.0,AC,HDPE,0
